title,genres
Avatar,"Action,Adventure,Fantasy,Science Fiction"
Pirates of the Caribbean: At World's End,"Adventure,Fantasy,Action"
Spectre,"Action,Adventure,Crime"
The Dark Knight Rises,"Action,Crime,Drama,Thriller"
John Carter,"Action,Adventure,Science Fiction"
Spider-Man 3,"Fantasy,Action,Adventure"
Tangled,"Animation,Family"
Avengers: Age of Ultron,"Action,Adventure,Science Fiction"
Harry Potter and the Half-Blood Prince,"Adventure,Fantasy,Family"
Batman v Superman: Dawn of Justice,"Action,Adventure,Fantasy"
Superman Returns,"Adventure,Fantasy,Action,Science Fiction"
Quantum of Solace,"Adventure,Action,Thriller,Crime"
Pirates of the Caribbean: Dead Man's Chest,"Adventure,Fantasy,Action"
The Lone Ranger,"Action,Adventure,Western"
Man of Steel,"Action,Adventure,Fantasy,Science Fiction"
The Chronicles of Narnia: Prince Caspian,"Adventure,Family,Fantasy"
The Avengers,"Science Fiction,Action,Adventure"
Pirates of the Caribbean: On Stranger Tides,"Adventure,Action,Fantasy"
Men in Black 3,"Action,Comedy,Science Fiction"
The Hobbit: The Battle of the Five Armies,"Action,Adventure,Fantasy"
The Amazing Spider-Man,"Action,Adventure,Fantasy"
Robin Hood,"Action,Adventure"
The Hobbit: The Desolation of Smaug,"Adventure,Fantasy"
The Golden Compass,"Adventure,Fantasy"
King Kong,"Adventure,Drama,Action"
Titanic,"Drama,Romance,Thriller"
Captain America: Civil War,"Adventure,Action,Science Fiction"
Battleship,"Thriller,Action,Adventure,Science Fiction"
Jurassic World,"Action,Adventure,Science Fiction,Thriller"
Skyfall,"Action,Adventure,Thriller"
Spider-Man 2,"Action,Adventure,Fantasy"
Iron Man 3,"Action,Adventure,Science Fiction"
Alice in Wonderland,"Family,Fantasy,Adventure"
X-Men: The Last Stand,"Adventure,Action,Science Fiction,Thriller"
Monsters University,"Animation,Family"
Transformers: Revenge of the Fallen,"Science Fiction,Action,Adventure"
Transformers: Age of Extinction,"Science Fiction,Action,Adventure"
Oz: The Great and Powerful,"Fantasy,Adventure,Family"
The Amazing Spider-Man 2,"Action,Adventure,Fantasy"
TRON: Legacy,"Adventure,Action,Science Fiction"
Cars 2,"Animation,Family,Adventure,Comedy"
Green Lantern,"Adventure,Action,Thriller,Science Fiction"
Toy Story 3,"Animation,Family,Comedy"
Terminator Salvation,"Action,Science Fiction,Thriller"
Furious 7,"A,c,t,i,o,n"
World War Z,"Action,Drama,Horror,Science Fiction,Thriller"
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Science Fiction"
Star Trek Into Darkness,"Action,Adventure,Science Fiction"
Jack the Giant Slayer,"Action,Family,Fantasy"
The Great Gatsby,"Drama,Romance"
Prince of Persia: The Sands of Time,"Adventure,Fantasy,Action,Romance"
Pacific Rim,"Action,Science Fiction,Adventure"
Transformers: Dark of the Moon,"Action,Science Fiction,Adventure"
Indiana Jones and the Kingdom of the Crystal Skull,"Adventure,Action"
The Good Dinosaur,"Adventure,Animation,Family"
Brave,"Animation,Adventure,Comedy,Family,Action,Fantasy"
